trait.name,T,trait,ref,specie,parasite,food_supply,sex,notes
pdr,23.0,0.066666667,Eling et al 2001,An. stephensi,P. falciparum,,,
pdr,26.0,0.090909091,Eling et al 2001,An. stephensi,P. falciparum,,,
pdr,28.0,0.111111111,Eling et al 2001,An. stephensi,P. falciparum,,,
pdr,21.1,0.071428571,Knowles and Basu 1943,An. stephensi,P. malariae,,,
pdr,26.7,0.1,Knowles and Basu 1943,An. stephensi,P. malariae,,,
pdr,32.2,0.111111111,Knowles and Basu 1943,An. stephensi,P. malariae,,,
pdr,28.1,0.103603,Thomas et al. 2018,An. stephensi,P. falciparum,,,
pdr,28.8,0.106357,Thomas et al. 2018,An. stephensi,P. falciparum,,,
pdr,30.0,0.108385,Thomas et al. 2018,An. stephensi,P. falciparum,,,
pdr,32.0,0.100023,Thomas et al. 2018,An. stephensi,P. falciparum,,,
pdr,32.6,0.092359,Thomas et al. 2018,An. stephensi,P. falciparum,,,
pdr,28.1,0.116064,Thomas et al. 2018,An. stephensi,P. vivax,,,
pdr,28.8,0.11771,Thomas et al. 2018,An. stephensi,P. vivax,,,
pdr,30.0,0.117597,Thomas et al. 2018,An. stephensi,P. vivax,,,
pdr,32.0,0.101173,Thomas et al. 2018,An. stephensi,P. vivax,,,
pdr,32.6,0.084844,Thomas et al. 2018,An. stephensi,P. vivax,,,
pdr,21.0,0.071428571,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,24.0,0.088495575,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,27.0,0.091743119,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,30.0,0.120481928,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,32.0,0.12987013,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,34.0,0.142857143,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,21.0,0.062111801,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,24.0,0.085470085,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,27.0,0.096153846,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,30.0,0.120481928,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,32.0,0.12987013,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,34.0,0.142857143,Shapiro et al. 2017,An. stephensi,P. falciparum,,,
pdr,22.0,0.07692308,Paaijmans et al. 2013,An. stephensi,P. yoelii,,,
pdr,24.0,0.09090909,Paaijmans et al. 2013,An. stephensi,P. yoelii,,,
pdr,26.0,0.125,Paaijmans et al. 2013,An. stephensi,P. yoelii,,,
pdr,20.0,0.04950495,Paaijmans et al. 2011,An. stephensi,P. yoelii,,,
pdr,22.0,0.084033613,Paaijmans et al. 2011,An. stephensi,P. yoelii,,,
pdr,24.0,0.106382979,Paaijmans et al. 2011,An. stephensi,P. yoelii,,,
pdr,26.0,0.125,Paaijmans et al. 2011,An. stephensi,P. yoelii,,,
pdr,16.5,0.033333,Waite et al. 2019,An. stephensi,P. falciparum,,,
