TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m,Day
100,6b8cde1b-906a-4adc-b736-96655efd3448,Mosquitoes,LivingAgent,9.628672,41.873519,1,179,ADULT,0.663,1,0,0,0.0,0,0,0,2420.7535,0.3675,0.29,0.0003,30.82,1.0416666666666667
500,f79241b4-d80b-4bcd-9f29-93d87323b608,Mosquitoes,LivingAgent,9.618306,41.862257,1,370,ADULT,0.521,0,0,0,0.0,0,0,0,2083.4199,0.6769,0.63,0.0,28.69,5.208333333333333
100,4dab3fdd-50d2-44a6-abbb-e41a3306ddd8,Mosquitoes,LivingAgent,9.584315,41.850276,1,1487,ADULT,0.324,0,0,0,0.0,0,0,86,1895.2362,0.513,0.51,0.0003,30.82,1.0416666666666667
300,4fa0a924-a47c-4143-aec7-e9a686aec5ac,Mosquitoes,LivingAgent,9.601831,41.838686,1,481,ADULT,0.731,0,0,0,0.0,0,0,0,2491.8733,0.5921,0.55,0.0,24.05,3.125
600,d2eff263-d640-4b38-bf1c-752f5c9c4ae6,Mosquitoes,LivingAgent,9.631174,41.864621,1,235,PUPA,0.71,0,0,0,0.0,0,0,0,2442.291,0.3983,0.42,0.0,32.27,6.25
500,24627785-6eaf-4bba-ac61-8e5b76911796,Mosquitoes,LivingAgent,9.610951,41.828412,1,745,ADULT,0.648,0,0,0,0.0,1,0,0,2062.5585,0.3449,0.43,0.0,31.13,5.208333333333333
100,ee3a4258-d000-4d42-b612-64592f7703e6,Mosquitoes,LivingAgent,9.603672,41.867668,1,1838,ADULT,0.483,0,0,0,0.0,0,0,0,1503.64,0.7567,0.75,0.0001,29.54,1.0416666666666667
200,728b43a0-7788-4a3b-8960-6da7d0fe4b50,Mosquitoes,LivingAgent,9.604308,41.874028,1,1303,ADULT,0.54,0,0,0,0.0,0,0,0,1599.2944,0.6195,0.49,0.2595,24.51,2.0833333333333335
300,4a186399-99d5-4f25-86c3-b4ee2eb84018,Mosquitoes,LivingAgent,9.608017,41.853226,1,1687,ADULT,0.711,1,0,0,0.0,0,0,0,2046.6704,0.9,0.86,0.0,29.43,3.125
100,97592b65-e2cd-45b9-87e0-bcee05bd9066,Mosquitoes,LivingAgent,9.574225,41.848224,1,132,LARVA,0.894,0,0,0,0.0,0,0,18,1673.3175,0.2912,0.39,0.0003,30.82,1.0416666666666667
100,3c502e62-94ec-4c76-aebb-d1e11b971b13,Mosquitoes,LivingAgent,9.613806,41.869644,1,147,PUPA,0.57,0,0,0,0.0,0,0,0,1861.2444,0.6559,0.51,0.0,26.67,1.0416666666666667
100,b2ae92a6-97ef-4526-ae24-45d4355a2ece,Mosquitoes,LivingAgent,9.591418,41.828371,1,229,PUPA,0.749,0,0,0,0.0,0,0,0,2039.8493,0.2932,0.32,0.0,22.92,1.0416666666666667
200,8f8b905d-5307-4086-a2ef-f832bfba6bc1,Mosquitoes,LivingAgent,9.606254,41.86987,1,196,PUPA,0.651,0,0,0,0.0,0,0,0,1540.2474,0.7193,0.67,0.286,25.16,2.0833333333333335
100,d32922dd-5ea0-48bb-8ddf-1bb61c6eeaef,Mosquitoes,LivingAgent,9.603481,41.874529,1,1667,ADULT,0.494,0,0,0,0.0,0,5,3,1593.7018,0.6179,0.59,0.0003,30.82,1.0416666666666667
400,aee83bcf-95d5-4324-af4b-4903421938b2,Mosquitoes,LivingAgent,9.572245,41.878491,1,570,LARVA,0.753,0,0,0,0.0,0,0,0,2216.0832,0.1347,0.12,0.0,26.47,4.166666666666667
100,2011358b-c97e-4bda-b2fd-dba6235c0d4a,Mosquitoes,LivingAgent,9.608387,41.855042,1,52,LARVA,0.836,0,0,0,0.0,0,0,0,1966.1919,0.9106,0.82,0.0002,30.18,1.0416666666666667
100,5f07c907-eacb-4012-9b20-c8eea031ff5e,Mosquitoes,LivingAgent,9.613568,41.881395,1,653,LARVA,0.71,0,0,0,0.0,0,0,0,1971.3285,0.4308,0.38,0.0,26.67,1.0416666666666667
