source_type,source,species,year,latitude,longitude
online_database,GBIF,an. stephensi,2022,,
online_database,GBIF,an. stephensi,2018,10.166,40.6468
online_database,GBIF,an. stephensi,2018,9.5962,41.8542
online_database,GBIF,an. stephensi,2018,11.1926,40.0176
online_database,GBIF,an. stephensi,2016,6.735,44.277
online_database,GBIF,an. stephensi,2018,9.5562,41.384
online_database,GBIF,an. stephensi,2018,5.9494,43.5532
online_database,GBIF,an. stephensi,2018,6.7389,44.2771
online_database,GBIF,an. stephensi,2018,11.7948,41.0084
online_database,GBIF,an. stephensi,2018,8.9891,40.1647
online_database,GBIF,an. stephensi,2018,8.2233,43.5588
online_database,GBIF,an. stephensi,2018,9.3517,42.7939
online_database,GBIF,an. stephensi,2018,,
online_database,GBIF,an. stephensi,2018,,
online_database,GBIF,an. stephensi,2018,,
online_database,GBIF,an. stephensi,2018,,
online_database,GBIF,an. stephensi,2018,,
online_database,GBIF,an. stephensi,2018,,
online_database,GBIF,an. stephensi,2016,6.73,44.27
online_database,GBIF,an. stephensi,2016,6.733333,44.266666
