AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
2ba6f654-72a6-4276-a86d-d201718776ae,Mosquitoes,LivingAgent,38.288968,8.668945,true,504,ADULT,0.675,true,2548.0000,4.0000,2.41,0.0022,13.62,9,0
b16db7bd-5a1e-48e3-a8b9-7db1bceb6b20,Mosquitoes,LivingAgent,38.301135,8.639259,true,535,ADULT,0.726,false,2469.0000,0.0000,2.57,0.0022,13.70,5,0
2073864e-58c2-4735-92da-e81aef265b6e,Mosquitoes,LivingAgent,38.365717,8.590138,true,658,ADULT,0.878,false,2218.0000,0.0000,1.65,0.0042,11.59,5,0
6b6e4c66-51cc-4af9-83e6-9f027a66ff90,Mosquitoes,LivingAgent,38.287787,8.645470,true,724,ADULT,0.589,true,2468.0000,0.0000,6.23,0.0022,13.70,7,0
4dba744d-f39d-45fc-925a-ec0ded25b13f,Mosquitoes,LivingAgent,38.366120,8.637801,true,408,ADULT,0.623,false,2525.0000,1.0000,1.74,0.0007,13.48,3,0
07e1f262-67b9-4a5d-9e6e-401105f4b44a,Mosquitoes,LivingAgent,38.345152,8.612536,true,646,ADULT,0.633,true,2574.0000,21.0000,23.28,0.0042,11.79,5,0
cddcad28-d519-4ee2-9ef3-eb5afa8430a4,Mosquitoes,LivingAgent,38.287020,8.595256,true,549,ADULT,0.654,false,2536.0000,0.0000,1.87,0.0108,12.74,6,0
6ea6f525-9846-4f49-96c2-342eb2dddf35,Mosquitoes,LivingAgent,38.373869,8.585748,true,545,ADULT,0.716,false,1993.0000,0.0000,4.13,0.0042,11.79,2,0
6ca07eb4-5b89-4ecf-9126-231869120cd4,Mosquitoes,LivingAgent,38.319071,8.674134,true,328,ADULT,0.899,false,2464.0000,0.0000,1.24,0.0022,13.78,8,0
b184e5cb-10df-4415-a7b6-ddb3610f214f,Mosquitoes,LivingAgent,38.309587,8.665881,true,512,ADULT,0.967,true,2457.0000,0.0000,2.46,0.0022,13.86,3,0
2e0ad1df-cbca-4559-912f-69a8e1f072ba,Mosquitoes,LivingAgent,38.332100,8.671981,true,536,ADULT,0.549,false,2493.0000,0.0000,4.41,0.0007,14.02,6,0
89ef62a6-3b7d-4954-9cdd-f96410baf821,Mosquitoes,LivingAgent,38.355799,8.622101,true,451,ADULT,0.707,true,2469.0000,0.0000,5.62,0.0042,13.00,3,0
f83a80a2-ae03-4895-a482-d552e68e6011,Mosquitoes,LivingAgent,38.282145,8.622640,true,397,ADULT,0.622,false,2556.0000,0.0000,3.04,0.0120,14.41,2,0
3c783201-a500-40e3-b86a-87ddaa8283ae,Mosquitoes,LivingAgent,38.322153,8.633992,true,538,ADULT,0.972,true,2647.0000,0.0000,3.74,0.0023,15.30,6,0
e17838a4-1479-4893-97e6-f4c78f54d570,Mosquitoes,LivingAgent,38.310644,8.584372,true,355,ADULT,0.723,false,2519.0000,0.0000,0.88,0.0174,15.41,6,0
b21583f2-32b4-418f-b602-6053f4160c03,Mosquitoes,LivingAgent,38.342013,8.665163,true,775,ADULT,0.504,false,2619.0000,11.0000,9.73,0.0121,16.40,5,0
1a9a77fb-436a-4525-9678-0cf820eaf21b,Mosquitoes,LivingAgent,38.314652,8.597549,true,750,ADULT,0.583,false,2543.0000,1.0000,1.48,0.0225,15.91,6,0
